"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.802708336E-2,-4.390147984E-2,4.513250146E-2,-6.022240359E-1
8.797008335E-2,6.951754689E-3,-1.697852354E-2,-6.514301097E-1
9.791308339E-2,2.346823856E-2,-3.962164689E-2,-5.058566594E-1
1.078560834E-1,1.471875742E-2,-5.701948889E-2,-2.487294441E-1
1.177990834E-1,-1.009097859E-2,-7.110926863E-2,3.662520468E-2
1.277410834E-1,-4.513392672E-2,-7.441448037E-2,1.833447093E-1
1.376840834E-1,-9.396899477E-2,-5.682554405E-2,2.119019258E-1
1.476270834E-1,-1.102096362E-1,-2.133075234E-2,1.456219822E-1
1.575700833E-1,-1.170070244E-1,1.544172909E-2,3.712104857E-2
1.675130834E-1,-1.019374341E-1,2.010150315E-2,-2.886068702E-2
1.774560834E-1,-8.964015484E-2,-1.213282630E-2,-4.374594390E-2
1.873990833E-1,-7.327920690E-2,-4.492214788E-2,-9.934302449E-2
1.973420834E-1,-2.661608711E-2,-7.076289419E-2,-2.585545206E-1
2.072850834E-1,4.046638682E-3,-7.178792937E-2,-4.487369639E-1
2.172280833E-1,1.164546087E-2,-4.954638183E-2,-4.895435125E-1
2.271710834E-1,2.163477100E-2,-2.114040719E-2,-3.382754588E-1
2.371140834E-1,1.437976509E-3,-6.720826216E-3,-9.833262563E-2
2.470570834E-1,-1.935749978E-2,-1.146989822E-2,7.929818451E-2
2.569990834E-1,-4.626441278E-2,7.971454281E-3,1.217115480E-1
2.669420834E-1,-7.847475037E-2,6.357003322E-2,9.291868865E-2
2.768850834E-1,-1.194315724E-1,1.194589447E-1,1.716917932E-2
2.868280833E-1,-1.471222316E-1,1.198295120E-1,-6.181617916E-2
2.967710834E-1,-1.433854222E-1,1.165512340E-1,-1.100954694E-1
3.067140834E-1,-1.185590947E-1,1.005641424E-1,-1.388076371E-1
3.166570833E-1,-8.277508512E-2,8.690031404E-2,-1.606621903E-1
3.266000834E-1,-5.262932628E-2,7.321368154E-2,-1.482614154E-1
3.365430834E-1,-3.868503258E-2,6.338889744E-2,-1.269073838E-1
3.464860833E-1,-3.714195237E-2,3.632918939E-2,-1.040003318E-1
3.564290834E-1,-2.722222410E-2,4.279869497E-3,-7.014436841E-2
3.663710834E-1,-3.278804250E-2,-3.353542630E-2,-6.409425437E-2
3.763140833E-1,-4.298734076E-2,-7.018827735E-2,-6.837090790E-2
3.862570834E-1,-5.483898908E-2,-1.052673503E-1,-9.065347731E-2
3.962000834E-1,-4.891809851E-2,-1.395407318E-1,-1.256560796E-1
4.061430834E-1,-6.071076304E-2,-1.521018301E-1,-1.605885154E-1
4.160860833E-1,-4.731354944E-2,-1.516699766E-1,-1.728436947E-1
4.260290834E-1,-5.115034617E-2,-1.294802683E-1,-1.792580903E-1
4.359720834E-1,-5.611280501E-2,-9.350520093E-2,-1.819168192E-1
4.459150833E-1,-4.003106162E-2,-4.810299665E-2,-1.733032858E-1
4.558580834E-1,-5.289990619E-2,7.037379853E-3,-9.640830696E-2
4.658010834E-1,-5.847449541E-2,6.116940401E-2,-4.283728659E-2
4.757440833E-1,-6.162417121E-2,9.330997702E-2,-9.586393118E-2
4.856860834E-1,-5.274217755E-2,1.385209773E-1,-1.404027575E-1
4.956280834E-1,-2.199912563E-2,1.454087050E-1,-1.335299402E-1
5.055710833E-1,-1.118396938E-2,1.309814313E-1,-1.218419409E-1
5.155140834E-1,-6.018246710E-3,9.809109908E-2,-1.020017534E-1
5.254570834E-1,-8.186832815E-3,6.738360554E-2,-6.618872702E-2
5.354000833E-1,-3.153995432E-2,3.249104049E-2,-5.039013505E-2
5.453430834E-1,-5.036309168E-2,1.031076081E-2,-6.119754374E-2
5.552860834E-1,-7.703706622E-2,-2.681178611E-2,-9.415888309E-2
5.652290834E-1,-7.326502740E-2,-4.785938703E-2,-1.271301627E-1
5.751720833E-1,-7.305306584E-2,-6.148175497E-2,-1.523708385E-1
5.851150834E-1,-7.388278574E-2,-6.912519872E-2,-1.646967691E-1
5.950580834E-1,-6.388090409E-2,-5.743577410E-2,-1.163584220E-1
6.050000833E-1,-7.678073891E-2,-3.876111947E-2,-6.556249022E-2
6.149430834E-1,-7.439295530E-2,-2.095696907E-2,-5.023167551E-2
6.248860834E-1,-7.874920405E-2,-2.755500376E-3,-5.869259655E-2
6.348290833E-1,-8.031538077E-2,1.415015224E-2,-9.336600065E-2
